! NUMBER OF COLLISION TEMPERATURES
8
! COLLISION TEMPERATURES
 15.0    25.0    50.0    75.0   100.0   150.0   200.0   300.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
  107   16   8   1.2E-12 1.2E-12 1.4E-12 1.5E-12 1.8E-12 2.3E-12 2.9E-12 4.2E-12
  108   16  14   3.2E-11 3.2E-11 3.3E-11 3.5E-11 3.8E-11 4.3E-11 4.8E-11 5.8E-11
  109   16  11   2.1E-12 2.2E-12 2.4E-12 2.7E-12 2.9E-12 3.6E-12 4.3E-12 5.9E-12
  110   16  10   2.7E-11 2.8E-11 3.1E-11 3.3E-11 3.6E-11 4.3E-11 4.9E-11 6.0E-11
  111   16  15   4.2E-11 4.2E-11 4.3E-11 4.4E-11 4.5E-11 4.9E-11 5.2E-11 5.9E-11
  112   16  13   1.4E-12 1.4E-12 1.6E-12 1.8E-12 2.1E-12 2.8E-12 3.5E-12 5.2E-12
  113   16  12   1.5E-12 1.6E-12 1.7E-12 1.8E-12 2.0E-12 2.3E-12 2.7E-12 3.5E-12
  114   13   1   6.8E-13 6.8E-13 7.1E-13 7.9E-13 8.8E-13 1.1E-12 1.3E-12 1.8E-12
  115   13   2   1.9E-13 1.7E-13 1.7E-13 1.8E-13 2.1E-13 2.8E-13 3.8E-13 6.0E-13
  116   13   3   2.0E-12 2.0E-12 2.1E-12 2.3E-12 2.6E-12 3.2E-12 3.9E-12 5.3E-12
  117   13   6   6.6E-13 6.5E-13 7.1E-13 8.4E-13 1.0E-12 1.5E-12 2.0E-12 3.4E-12
  118   13   5   3.7E-12 3.5E-12 3.7E-12 4.1E-12 4.6E-12 5.9E-12 7.3E-12 1.0E-11
  119   13   4   2.0E-11 2.0E-11 2.1E-11 2.2E-11 2.3E-11 2.6E-11 2.9E-11 3.5E-11
  120   13   9   7.3E-13 7.2E-13 7.8E-13 9.0E-13 1.0E-12 1.4E-12 1.8E-12 2.6E-12
  121   13   7   1.5E-11 1.4E-11 1.4E-11 1.5E-11 1.5E-11 1.7E-11 1.8E-11 2.1E-11
  122   13   8   7.2E-12 6.9E-12 7.0E-12 7.6E-12 8.4E-12 1.0E-11 1.3E-11 1.7E-11
  123   13  11   2.5E-12 2.5E-12 2.7E-12 3.1E-12 3.6E-12 4.9E-12 6.4E-12 9.6E-12
  124   13  10   3.6E-12 3.6E-12 3.9E-12 4.3E-12 4.7E-12 5.6E-12 6.4E-12 8.0E-12
  125   13  12   1.4E-10 1.4E-10 1.4E-10 1.5E-10 1.5E-10 1.6E-10 1.8E-10 2.0E-10
  126   12   1   1.5E-14 1.0E-14 6.0E-15 4.7E-15 4.2E-15 4.2E-15 4.6E-15 6.2E-15
  127   12   2   1.7E-12 1.7E-12 1.8E-12 2.0E-12 2.2E-12 2.8E-12 3.4E-12 4.6E-12
  128   12   3   5.0E-13 4.8E-13 5.0E-13 5.8E-13 6.8E-13 9.5E-13 1.3E-12 2.1E-12
  129   12   6   1.5E-12 1.5E-12 1.6E-12 1.8E-12 2.0E-12 2.5E-12 3.1E-12 4.2E-12
  130   12   5   2.0E-11 2.0E-11 2.1E-11 2.2E-11 2.3E-11 2.6E-11 2.9E-11 3.5E-11
  131   12   4   3.7E-12 3.6E-12 3.7E-12 4.1E-12 4.7E-12 5.9E-12 7.3E-12 1.0E-11
  132   12   9   5.3E-13 5.2E-13 5.8E-13 7.0E-13 8.8E-13 1.3E-12 1.9E-12 3.5E-12
  133   12   7   7.1E-12 6.9E-12 7.0E-12 7.6E-12 8.4E-12 1.0E-11 1.3E-11 1.7E-11
  134   12   8   1.5E-11 1.4E-11 1.4E-11 1.5E-11 1.5E-11 1.7E-11 1.8E-11 2.1E-11
  135   12  11   6.6E-12 5.8E-12 5.0E-12 4.9E-12 5.2E-12 5.8E-12 6.6E-12 8.0E-12
  136   12  10   2.4E-12 2.4E-12 2.6E-12 3.1E-12 3.6E-12 4.9E-12 6.4E-12 9.6E-12
