  107    16     2  1.2e-15 1.6e-15 1.7e-15 1.9e-15 2.6e-15 3.7e-15 6.7e-15 1.6e-14 3.3e-14 9.5e-14 1.9e-13 3.9e-13 5.4e-13 1.2e-12
  108    16     3  2.7e-15 3.6e-15 4.0e-15 4.4e-15 6.0e-15 8.7e-15 1.6e-14 3.9e-14 8.1e-14 2.2e-13 4.2e-13 8.2e-13 1.1e-12 2.3e-12
  109    16     4  1.1e-14 1.5e-14 1.6e-14 1.7e-14 2.1e-14 2.8e-14 4.5e-14 9.1e-14 1.6e-13 3.8e-13 6.7e-13 1.2e-12 1.5e-12 2.8e-12
  110    16     5  2.3e-14 3.1e-14 3.3e-14 3.7e-14 4.9e-14 6.8e-14 1.1e-13 2.3e-13 4.1e-13 8.9e-13 1.5e-12 2.5e-12 3.1e-12 5.6e-12
  111    16     6  6.6e-14 8.9e-14 9.5e-14 1.0e-13 1.3e-13 1.6e-13 2.3e-13 4.0e-13 6.3e-13 1.2e-12 1.8e-12 2.6e-12 3.2e-12 5.1e-12
  112    16     7  2.3e-13 3.0e-13 3.2e-13 3.4e-13 4.3e-13 5.5e-13 7.9e-13 1.3e-12 1.9e-12 3.3e-12 4.7e-12 7.1e-12 8.5e-12 1.4e-11
  113    16     8  4.4e-13 5.9e-13 6.2e-13 6.4e-13 7.4e-13 8.6e-13 1.1e-12 1.6e-12 2.0e-12 3.0e-12 3.8e-12 5.0e-12 5.7e-12 8.0e-12
  114    16     9  2.1e-12 2.8e-12 2.9e-12 3.0e-12 3.3e-12 3.8e-12 4.8e-12 6.5e-12 8.2e-12 1.1e-11 1.4e-11 1.9e-11 2.2e-11 3.2e-11
  115    16    10  2.6e-12 3.4e-12 3.5e-12 3.6e-12 3.7e-12 3.9e-12 4.3e-12 4.9e-12 5.4e-12 6.5e-12 7.5e-12 8.9e-12 9.7e-12 1.2e-11
  116    16    11  1.3e-11 1.6e-11 1.7e-11 1.7e-11 1.8e-11 1.9e-11 2.1e-11 2.4e-11 2.8e-11 3.3e-11 3.7e-11 4.5e-11 5.0e-11 6.5e-11
  117    16    12  1.2e-11 1.5e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.8e-11 2.0e-11 2.4e-11 2.6e-11 3.2e-11
  118    16    13  4.3e-11 5.6e-11 5.7e-11 5.7e-11 5.7e-11 5.8e-11 6.0e-11 6.4e-11 6.6e-11 7.0e-11 7.3e-11 8.1e-11 8.5e-11 9.9e-11
  119    16    14  5.1e-11 7.0e-11 7.5e-11 7.7e-11 7.7e-11 7.6e-11 7.5e-11 7.5e-11 7.6e-11 8.0e-11 8.5e-11 9.9e-11 1.1e-10 1.3e-10
  120    16    15  7.7e-11 1.0e-10 1.1e-10 1.1e-10 1.1e-10 1.0e-10 1.0e-10 1.0e-10 1.0e-10 1.1e-10 1.1e-10 1.1e-10 1.1e-10 1.0e-10
  121    17     1  1.7e-17 6.7e-17 1.2e-16 1.5e-16 2.4e-16 3.8e-16 7.8e-16 2.2e-15 5.1e-15 1.7e-14 3.7e-14 9.2e-14 1.4e-13 3.5e-13
  122    17     2  6.8e-17 2.7e-16 4.6e-16 5.9e-16 8.9e-16 1.4e-15 2.8e-15 8.0e-15 1.9e-14 6.2e-14 1.3e-13 3.0e-13 4.3e-13 1.0e-12
